Ticker;Nome;Setor ICB
ABEV3 BZ Equity;AMBEV SA;Beverages
ITUB4 BZ Equity;ITAU UNIBANCO HOLDING S-PREF;Banks
PETR4 BZ Equity;PETROBRAS - PETROLEO BRAS-PR;Oil & Gas Producers
BBDC4 BZ Equity;BANCO BRADESCO SA-PREF;Banks
VALE5 BZ Equity;VALE SA-PREF;Mining
SANB11 BZ Equity;BANCO SANTANDER BRASIL-UNIT;Banks
BBAS3 BZ Equity;BANCO DO BRASIL S.A.;Banks
VIVT4 BZ Equity;TELEFONICA BRASIL S.A.-PREF;Fixed Line Telecommunications
ITSA4 BZ Equity;ITAUSA-INVESTIMENTOS ITAU-PR;Financial Services
CIEL3 BZ Equity;CIELO SA;Financial Services
BBSE3 BZ Equity;BB SEGURIDADE PARTICIPACOES;Nonlife Insurance
UGPA3 BZ Equity;ULTRAPAR PARTICIPACOES SA;Gas, Water & Multiutilities
BVMF3 BZ Equity;BM&FBOVESPA SA;Financial Services
BRFS3 BZ Equity;BRF SA;Food Producers
CCRO3 BZ Equity;CCR SA;Industrial Transportation
WEGE3 BZ Equity;WEG SA;Electronic & Electrical Equipment
CPFE3 BZ Equity;CPFL ENERGIA SA;Electricity
BRKM5 BZ Equity;BRASKEM SA-PREF A;Chemicals
KROT3 BZ Equity;KROTON EDUCACIONAL SA;General Retailers
RADL3 BZ Equity;RAIA DROGASIL SA;Food & Drug Retailers
TIMP3 BZ Equity;TIM PARTICIPACOES SA;Mobile Telecommunications
LAME4 BZ Equity;LOJAS AMERICANAS SA-PREF;General Retailers
EGIE3 BZ Equity;ENGIE BRASIL ENERGIA SA;Electricity
FIBR3 BZ Equity;FIBRIA CELULOSE SA;Forestry & Paper
JBSS3 BZ Equity;JBS SA;Food Producers
PCAR4 BZ Equity;CIA BRASILEIRA DE DIS-PREF;Food & Drug Retailers
SBSP3 BZ Equity;CIA SANEAMENTO BASICO DE SP;Gas, Water & Multiutilities
ELET6 BZ Equity;CENTRAIS ELETRICAS BRAS-PR B;Electricity
HYPE3 BZ Equity;HYPERMARCAS SA;Food Producers
LREN3 BZ Equity;LOJAS RENNER S.A.;General Retailers
KLBN4 BZ Equity;KLABIN SA-PREF;General Industrials
MDIA3 BZ Equity;M DIAS BRANCO SA;Food Producers
SUZB5 BZ Equity;SUZANO PAPEL E CELULO-PREF A;Forestry & Paper
GGBR4 BZ Equity;GERDAU SA-PREF;Industrial Metals & Mining
CSAN3 BZ Equity;COSAN SA INDUSTRIA COMERCIO;Food Producers
BBTG11 BZ Equity;GRUPO BTG PACTUAL-UNIT;Financial Services
NATU3 BZ Equity;NATURA COSMETICOS SA;Personal Goods
MULT3 BZ Equity;MULTIPLAN EMPREENDIMENTOS;Real Estate Investment & Services
EMBR3 BZ Equity;EMBRAER SA;Aerospace & Defense
RAIL3 BZ Equity;RUMO SA;Industrial Transportation
EQTL3 BZ Equity;EQUATORIAL ENERGIA SA - ORD;Electricity
BRML3 BZ Equity;BR MALLS PARTICIPACOES SA;Real Estate Investment & Services
PSSA3 BZ Equity;PORTO SEGURO SA;Nonlife Insurance
TRPL4 BZ Equity;CIA DE TRANSMISSAO DE ENE-PF;Electricity
CSNA3 BZ Equity;CIA SIDERURGICA NACIONAL SA;Industrial Metals & Mining
CMIG4 BZ Equity;CIA ENERGETICA MINAS GER-PRF;Electricity
RENT3 BZ Equity;LOCALIZA RENT A CAR;General Retailers
FLRY3 BZ Equity;FLEURY SA;Health Care Equipment & Services
ENGI3 BZ Equity;ENERGISA S.A.;Electricity
DASA3 BZ Equity;DIAGNOSTICOS DA AMERICA SA;Health Care Equipment & Services
USIM5 BZ Equity;USINAS SIDER MINAS GER-PF A;Industrial Metals & Mining
AZUL4 BZ Equity;AZUL SA;Travel & Leisure
ENBR3 BZ Equity;EDP - ENERGIAS DO BRASIL SA;Electricity
QUAL3 BZ Equity;QUALICORP SA;Nonlife Insurance
